States/UTs,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Andhra Pradesh,4660,2817,2283,4538,4207,759,2134,1778,851,620
Arunachal Pradesh,25,12,30,31,11,13,27,41,22,28
Assam,650,413,438,259,535,593,268,366,480,402
Bihar,1123,1527,1400,695,697,1059,1190,1094,972,991
Chhattisgarh,335,434,910,326,1312,309,233,203,203,203
Goa,48,0,28,9,19,20,14,8,6,1
Gujarat,1883,268,468,1251,225,158,246,29,35,274
Haryana,267,357,399,299,232,281,268,887,890,891
Himachal Pradesh,376,328,81,90,181,69,108,110,107,81
Jammu & Kashmir,197,24,492,62,145,91,39,115,1025,1037
Jharkhand,290,887,683,637,623,974,684,414,365,1132
Karnataka,4213,356,648,1457,359,728,798,525,2838,244
Kerala,807,71,68,68,68,71,74,36,34,36
Madhya Pradesh,4298,8645,2025,5594,5698,4843,6156,5592,4223,4458
Maharashtra,3051,3744,3172,4472,2259,1725,1638,1526,1536,954
Manipur,0,82,199,215,67,186,0,0,0,0
Meghalaya,34,13,13,37,62,134,30,21,8,46
Mizoram,15,50,43,50,53,14,70,23,21,11
Nagaland,46,0,5,0,13,13,11,8,60,10
Odisha,925,789,814,615,803,1441,1114,1050,855,3363
Punjab,199,453,98,433,436,180,75,72,261,62
Rajasthan,3307,2909,1325,1284,2395,1407,1067,1621,983,638
Sikkim,117,84,78,0,75,7,7,4,38,43
Tamil Nadu,474,310,308,2661,2541,3475,3565,2957,1153,804
Telangana,NA,NA,NA,NA,NA,NA,NA,NA,912,38
Tripura,0,0,69,0,0,19,7,7,13,12
Uttarakhand,67,31,25,1,0,1,174,31,445,5
Uttar Pradesh,2118,1846,2753,2989,1554,2463,3243,1490,904,1735
West Bengal,314,839,2223,2148,8868,0,NA,0,0,583
Andaman & Nicobar Islands,60,89,31,33,42,22,10,16,21,23
Chandigarh,0,0,0,0,0,NA,22,0,3,9
Dadra & Nagar Haveli,0,0,0,0,69,0,43,0,3,17
Daman & Diu,4,0,0,0,6,1,6,2,0,8
Delhi,0,0,0,0,0,69,67,48,67,47
Lakshadweep,0,0,0,0,0,0,2,0,0,0
Puducherry,1,1,1,10,12,23,13,7,98,7
All India,29904,27379,21110,30264,33567,21148,23403,20081,19432,18813
