States/UTs,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Andhra Pradesh,1240,865,619,1668,970,778,424,379,193,117
Arunachal Pradesh,8,4,15,9,5,3,14,15,7,10
Assam,212,142,414,129,160,302,121,246,244,249
Bihar,611,885,839,422,350,754,805,790,890,867
Chhattisgarh,82,97,222,64,283,85,75,82,93,78
Goa,11,0,0,0,0,0,0,1,1,0
Gujarat,273,48,64,170,33,27,57,6,18,121
Haryana,140,171,181,131,142,143,129,398,480,478
Himachal Pradesh,56,111,9,28,62,31,24,30,18,9
Jammu & Kashmir,39,5,48,9,15,21,53,141,97,99
Jharkhand,163,387,296,273,263,485,438,241,288,906
Karnataka,648,33,156,212,69,136,145,118,511,62
Kerala,48,5,11,8,11,12,2,1,10,11
Madhya Pradesh,594,993,277,681,947,810,919,1012,915,705
Maharashtra,776,1007,896,896,620,479,482,479,487,341
Manipur,0,5,6,15,4,30,0,0,0,0
Meghalaya,10,3,3,11,6,27,21,8,12,21
Mizoram,5,30,7,6,15,10,29,7,6,9
Nagaland,13,0,5,0,1,3,11,3,25,0
Odisha,292,268,333,335,329,480,328,301,258,427
Punjab,100,382,101,323,299,158,55,111,277,91
Rajasthan,938,543,353,311,711,530,367,696,449,344
Sikkim,17,13,19,0,13,3,2,1,4,7
Tamil Nadu,136,82,88,538,431,575,731,718,416,142
Telangana,NA,NA,NA,NA,NA,NA,NA,NA,314,19
Tripura,0,0,6,0,0,7,3,1,5,5
Uttarakhand,50,17,22,3,0,0,137,10,351,3
Uttar Pradesh,1749,1501,2021,2127,1123,4653,2414,658,569,1404
West Bengal,102,489,668,932,3065,0,NA,0,0,214
Andaman & Nicobar Islands,0,0,2,4,1,1,NA,3,2,0
Chandigarh,0,0,0,0,0,NA,5,1,0,0
Dadra & Nagar Haveli,0,0,0,0,47,0,36,0,0,4
Daman & Diu,0,0,1,0,1,1,1,0,0,6
Delhi,0,0,0,0,0,8,6,6,7,6
Lakshadweep,0,0,0,2,0,0,0,0,0,0
Puducherry,0,0,0,0,0,1,1,0,21,0
All India,8313,8086,7682,9307,9976,10553,7835,6463,6968,6755
