Sl,State/UT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1.0,Andhra Pradesh,965,962,878,1105,1230,1326,1674,1606,1889,1722,1698,1764,1811,1039,678
2.0,Arunachal Pradesh,60,57,50,34,28,51,51,57,38,48,67,49,110,79,94
3.0,Assam,1583,1967,1894,2083,2250,1848,1721,1965,2392,2687,2838,2689,3531,6587,5624
4.0,Bihar,988,1154,877,1606,1518,1961,2085,2382,2397,2503,3565,4639,4925,5381,4777
5.0,Chhattisgarh,223,178,135,225,223,177,196,229,267,352,372,441,498,886,762
6.0,Goa,8,9,12,14,18,12,8,28,18,15,16,12,29,34,27
7.0,Gujarat,1063,1007,945,1171,1147,1142,1356,1320,1494,1651,1888,1939,2646,2370,1552
8.0,Haryana,298,328,354,315,274,395,490,594,530,543,548,660,1067,969,694
9.0,Himachal Pradesh,74,96,76,73,115,77,106,144,102,101,134,131,131,95,84
10.0,Jammu & Kashmir,633,563,696,672,741,862,959,523,696,509,894,884,686,707,798
11.0,Jharkhand,318,152,336,336,207,378,549,604,397,710,901,1000,1111,797,747
12.0,Karnataka,306,336,242,278,270,357,373,487,506,751,703,1035,902,1099,785
13.0,Kerala,114,92,104,135,179,219,194,179,202,221,230,253,243,159,200
14.0,Madhya Pradesh,917,1126,918,986,1047,869,906,1013,1060,1303,1473,1648,1860,3530,3036
15.0,Maharashtra,1022,977,938,1125,1338,1324,1286,1487,1388,1470,1954,1775,2373,2164,2788
16.0,Manipur,58,62,67,77,68,49,59,68,95,83,94,101,115,73,34
17.0,Meghalaya,9,21,4,16,16,27,12,14,17,41,18,6,32,28,22
18.0,Mizoram,5,3,3,0,0,1,0,1,0,0,0,3,6,2,10
19.0,Nagaland,9,4,6,2,6,5,12,5,8,13,3,7,22,17,33
20.0,Odisha,555,534,531,477,530,558,681,633,814,1070,1107,1347,1661,1761,1638
21.0,Punjab,369,348,253,266,361,471,592,573,566,646,589,731,920,935,822
22.0,Rajasthan,1261,1103,921,1245,926,1011,942,942,1138,1281,1461,1565,1736,2071,1762
23.0,Sikkim,0,2,0,4,3,0,3,8,7,13,6,8,25,3,23
24.0,Tamil Nadu,808,847,856,985,911,1052,1107,1405,1312,1532,1778,1557,1490,1504,1295
25.0,Telangana,-,-,-,-,-,-,-,-,-,-,-,-,-,1177,667
26.0,Tripura,43,60,68,83,69,61,81,112,125,106,113,120,192,113,91
27.0,Uttar Pradesh,4295,3829,2374,3709,3593,4270,5683,8280,10487,11903,19299,20565,23405,23685,21616
28.0,Uttarakhand,153,244,217,202,223,314,363,203,191,293,295,242,283,149,154
29.0,West Bengal,1331,1781,1571,1620,1565,1660,1742,1857,1958,2254,2748,3352,4222,5343,3961
,TOTAL STATE(S),17468,17842,15326,18844,18856,20477,23231,26719,30094,33821,44792,48523,56032,62757,54774
30.0,A & N Islands,4,1,1,2,0,10,6,10,5,11,14,7,9,13,9
31.0,Chandigarh,43,37,22,61,39,50,45,42,29,23,33,48,95,61,61
32.0,D&N Haveli,3,6,6,6,6,7,7,16,12,7,3,11,4,3,7
33.0,Daman & Diu,2,0,1,0,4,1,3,0,0,0,8,0,4,0,6
34.0,Delhi UT,298,325,274,331,419,402,352,412,375,366,503,478,614,498,455
35.0,Lakshadweep,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36.0,Puducherry,1,10,13,6,2,20,14,8,11,22,10,16,6,2,7
,TOTAL UT(S),351,379,317,406,470,490,427,489,432,429,571,560,732,577,545
,TOTAL (ALL INDIA),17819,18221,15643,19250,19326,20967,23658,27208,30526,34250,45363,49083,56764,63334,55319
