state,urban,rural,total
Andaman and Nicobar Islands,58.8,46.8,51.7
Andhra Pradesh,29.6,37.7,34.9
Arunachal Pradesh,55.2,60.5,59.0
Assam,29.7,36.8,35.6
Bihar,26.2,29.5,28.9
Chhattisgarh,52.1,52.9,52.7
Dadra and Nagar Haveli,27.8,41.0,33.9
Daman and Diu,39.9,22.9,35.8
Delhi,24.8,,24.7
Goa,49.4,37.0,44.7
Gujarat,10.6,11.4,11.1
Haryana,24.9,24.2,24.5
Himachal Pradesh,36.8,40.2,39.7
Jammu and Kashmir,9.2,11.1,10.5
Jharkhand,33.2,42.0,39.3
Karnataka,30.1,28.6,29.3
Kerala,32.8,40.8,37.0
Lakshadweep,7.0,0.0,6.8
Madhya Pradesh,28.3,30.3,29.6
Maharashtra,22.8,18.0,20.5
Manipur,52.9,52.3,52.5
Meghalaya,40.7,45.7,44.6
Mizoram,52.3,44.9,49.6
Nagaland,41.5,37.3,39.0
Odisha,32.2,41.3,39.3
Puducherry,38.8,45.2,41.0
Punjab,29.7,36.9,34.0
Rajasthan,19.4,14.5,15.9
Sikkim,48.9,52.9,51.2
Tamil Nadu,46.0,47.4,46.7
Telangana,46.0,61.2,53.9
Tripura,54.7,58.9,57.6
Uttar Pradesh,21.6,22.4,22.1
Uttarakhand,33.7,36.2,35.2
West Bengal,35.7,25.1,28.7
West Bengal,35.7,25.1,28.7
