state,urban,rural,total
Andaman and Nicobar Islands,1.2,3.5,2.5
Andhra Pradesh,0.1,0.6,0.4
Arunachal Pradesh,22.3,27.8,26.3
Assam,2.9,7.7,6.9
Bihar,0.2,0.3,0.2
Chhattisgarh,1.4,6.2,5.0
Dadra and Nagar Haveli,0.0,0.0,0.0
Daman and Diu,1.9,0.3,1.4
Delhi,0.7,0.0,0.7
Goa,4.2,4.4,4.2
Gujarat,0.1,0.4,0.3
Haryana,0.2,0.1,0.1
Himachal Pradesh,0.5,0.3,0.3
Jammu and Kashmir,0.2,0.1,0.1
Jharkhand,0.6,5.5,4.1
Karnataka,1.6,0.5,1.0
Kerala,2.4,0.9,1.6
Lakshadweep,0.0,0.0,0.0
Madhya Pradesh,0.6,2.1,1.6
Maharashtra,0.2,0.2,0.2
Manipur,6.2,6.1,6.1
Meghalaya,3.1,1.8,2.1
Mizoram,6.7,2.2,5.0
Nagaland,4.7,2.4,3.3
Odisha,1.3,2.6,2.4
Puducherry,0.5,0.7,0.6
Punjab,0.1,0.0,0.1
Rajasthan,0.1,0.1,0.1
Sikkim,22.7,23.1,23.0
Tamil Nadu,0.5,0.3,0.4
Telangana,2.7,14.3,8.8
Tripura,0.4,6.7,4.8
Uttar Pradesh,0.1,0.2,0.2
Uttarakhand,0.5,0.2,0.3
West Bengal,0.7,0.9,0.8
West Bengal,0.7,0.9,0.8
