state,urban,rural,total
Andaman and Nicobar Islands,19.4,17.4,18.3
Andhra Pradesh,42.4,43.6,43.2
Arunachal Pradesh,28.3,31.4,30.6
Assam,15.9,26.2,24.5
Bihar,40.2,43.7,43.2
Chhattisgarh,35.4,37.1,36.7
Dadra and Nagar Haveli,-12.5,50.8,33.2
Daman and Diu,34.6,7.4,26.6
Delhi,27.1,,26.8
Goa,15.3,8.7,12.9
Gujarat,14.1,24.8,20.1
Haryana,25.1,37.1,32.0
Himachal Pradesh,10.6,5.2,5.9
Jammu and Kashmir,6.7,10.6,9.4
Jharkhand,19.7,38.8,34.0
Karnataka,20.6,20.4,20.5
Kerala,13.7,14.8,14.3
Lakshadweep,5.5,,6.0
Madhya Pradesh,27.3,35.4,33.0
Maharashtra,16.4,26.2,21.4
Manipur,48.1,56.1,53.1
Meghalaya,22.0,30.4,28.7
Mizoram,16.7,17.6,17.0
Nagaland,11.3,13.6,12.7
Odisha,24.8,37.9,35.2
Puducherry,33.3,37.5,34.5
Punjab,19.7,20.9,20.5
Rajasthan,22.0,26.2,25.1
Sikkim,0.4,4.2,2.6
Tamil Nadu,37.2,44.2,40.6
Telangana,36.9,47.6,43.0
Tripura,16.7,32.4,27.9
Uttar Pradesh,29.6,39.3,36.7
Uttarakhand,12.1,13.1,12.7
West Bengal,23.7,36.9,32.8
West Bengal,23.7,36.9,32.8
