state,urban,rural,total
Andaman and Nicobar Islands,89.0,80.2,84.1
Andhra Pradesh,74.9,57.4,62.9
Arunachal Pradesh,80.9,60.1,65.6
Assam,87.0,69.2,71.8
Bihar,70.6,46.3,49.6
Chhattisgarh,81.6,61.3,66.3
Dadra and Nagar Haveli,82.1,46.5,62.5
Daman and Diu,85.2,78.2,83.1
Delhi,81.8,85.1,81.8
Goa,88.0,90.8,89.0
Gujarat,83.1,64.8,72.9
Haryana,80.3,72.1,75.4
Himachal Pradesh,92.6,87.8,88.2
Jammu and Kashmir,77.5,65.4,69.0
Jharkhand,79.0,51.5,59.0
Karnataka,81.8,63.8,71.7
Kerala,98.4,97.3,97.9
Lakshadweep,95.7,96.1,95.7
Madhya Pradesh,77.5,51.4,59.4
Maharashtra,85.9,74.8,80.3
Manipur,89.9,81.7,85.0
Meghalaya,93.4,79.6,82.8
Mizoram,98.6,85.4,93.5
Nagaland,89.9,75.1,81.0
Odisha,80.7,64.5,67.4
Puducherry,85.1,84.8,85.0
Punjab,86.1,78.4,81.4
Rajasthan,75.8,49.8,56.5
Sikkim,89.5,85.2,86.6
Tamil Nadu,85.6,72.9,79.4
Telangana,79.3,52.4,65.2
Tripura,88.4,77.0,80.4
Uttar Pradesh,74.6,56.2,61.0
Uttarakhand,81.7,73.6,76.5
West Bengal,79.4,66.9,71.0
West Bengal,79.4,66.9,71.0
