state,urban,rural,total
Andaman and Nicobar Islands,96.1,83.3,88.5
Andhra Pradesh,90.2,73.6,79.4
Arunachal Pradesh,91.4,81.9,84.5
Assam,93.2,80.7,82.8
Bihar,88.8,75.3,77.8
Chhattisgarh,93.0,83.1,85.7
Dadra and Nagar Haveli,96.1,66.7,82.6
Daman and Diu,89.7,89.9,89.7
Delhi,89.2,,89.3
Goa,93.5,96.6,94.7
Gujarat,93.0,86.6,89.6
Haryana,93.0,88.9,90.6
Himachal Pradesh,95.0,96.4,96.2
Jammu and Kashmir,88.1,86.5,87.0
Jharkhand,88.3,75.9,79.7
Karnataka,90.0,81.2,85.1
Kerala,98.8,98.6,98.7
Lakshadweep,100.0,-93.3,99.8
Madhya Pradesh,88.7,78.5,81.8
Maharashtra,94.4,91.2,92.8
Manipur,97.4,95.2,96.0
Meghalaya,95.7,80.8,84.0
Mizoram,99.3,96.3,98.2
Nagaland,93.2,80.6,85.6
Odisha,93.0,81.9,84.3
Puducherry,89.8,96.1,91.9
Punjab,90.8,85.2,87.5
Rajasthan,92.4,82.6,85.4
Sikkim,93.3,90.0,91.5
Tamil Nadu,91.7,86.2,89.1
Telangana,90.8,76.5,83.4
Tripura,95.2,87.0,89.5
Uttar Pradesh,85.4,81.1,82.4
Uttarakhand,92.4,89.6,90.7
West Bengal,83.9,79.7,81.1
West Bengal,83.9,79.7,81.1
