state,urban,rural,total
Andaman and Nicobar Islands,90.6,74.9,81.8
Andhra Pradesh,58.9,69.9,66.3
Arunachal Pradesh,72.4,51.1,56.6
Assam,61.5,42.1,45.4
Bihar,36.9,24.6,26.4
Chhattisgarh,62.1,47.6,51.3
Dadra and Nagar Haveli,47.5,27.4,36.9
Daman and Diu,63.6,58.4,61.9
Delhi,64.5,,64.4
Goa,84.4,79.9,82.8
Gujarat,56.5,42.2,48.6
Haryana,51.4,41.5,45.6
Himachal Pradesh,77.5,67.5,68.8
Jammu and Kashmir,70.5,55.4,60.3
Jharkhand,55.8,40.9,45.1
Karnataka,67.8,52.1,59.4
Kerala,70.3,70.8,70.6
Lakshadweep,72.4,-82.2,72.6
Madhya Pradesh,50.1,31.4,37.3
Maharashtra,52.0,38.7,45.3
Manipur,42.9,29.7,34.8
Meghalaya,67.9,49.9,54.4
Mizoram,68.4,38.8,57.4
Nagaland,54.8,27.3,38.9
Odisha,65.9,53.7,56.2
Puducherry,65.2,74.8,68.2
Punjab,65.0,54.9,58.8
Rajasthan,66.8,55.2,58.2
Sikkim,68.9,59.7,63.5
Tamil Nadu,75.7,78.3,77.0
Telangana,60.7,58.7,59.7
Tripura,69.4,54.8,59.2
Uttar Pradesh,60.1,52.6,54.6
Uttarakhand,65.5,54.6,58.5
West Bengal,54.8,38.3,43.5
West Bengal,54.8,38.3,43.5
