state,urban,rural,total
Andaman and Nicobar Islands,26.6,32.1,29.7
Andhra Pradesh,42.8,45.6,44.7
Arunachal Pradesh,61.8,59.0,59.7
Assam,45.9,53.7,52.3
Bihar,46.8,60.9,58.8
Chhattisgarh,23.8,27.3,26.4
Dadra and Nagar Haveli,41.7,3.9,21.8
Daman and Diu,30.9,19.2,27.0
Delhi,34.7,,35.0
Goa,33.4,34.8,33.9
Gujarat,29.7,25.2,27.2
Haryana,34.8,36.6,35.8
Himachal Pradesh,9.2,11.6,11.3
Jammu and Kashmir,32.9,33.5,33.3
Jharkhand,50.0,49.5,49.7
Karnataka,45.1,57.5,51.8
Kerala,31.1,38.4,34.9
Lakshadweep,41.6,-46.6,41.7
Madhya Pradesh,41.0,44.7,43.5
Maharashtra,35.2,33.3,34.3
Manipur,72.7,68.1,69.9
Meghalaya,29.4,66.6,57.3
Mizoram,14.9,27.8,19.7
Nagaland,25.9,41.1,34.7
Odisha,56.8,65.2,63.5
Puducherry,41.9,36.6,40.3
Punjab,33.9,30.9,32.1
Rajasthan,22.8,24.5,24.1
Sikkim,19.4,28.5,24.8
Tamil Nadu,34.6,37.9,36.2
Telangana,42.2,58.2,50.5
Tripura,56.0,57.8,57.3
Uttar Pradesh,30.2,35.7,34.2
Uttarakhand,27.2,30.4,29.2
West Bengal,25.8,22.8,23.8
West Bengal,25.8,22.8,23.8
